dataset,workflow,llm,nb_runs,nb_pfds,candidates_tested,mean_support,mean_confidence,execution_time,validation_rate,execution_time_stdev
US_Phone_Code.csv,agent_v1,Groq,3,14.0,16.0,51.0,1.0,1.063,0.875,0.096
US_Phone_Code.csv,agent_v1,HuggingFace,3,14.0,14.0,51.0,1.0,2.033,1.0,0.277
US_Phone_Code.csv,agent_v1,Mistral,1,16.0,16.0,51.0,0.988,3.94,1.0,
US_Phone_Code.csv,agent_v2,Groq,3,4.667,7.333,51.0,0.965,0.81,0.642,0.217
US_Phone_Code.csv,agent_v2,HuggingFace,3,13.0,16.0,51.0,1.0,5.397,0.812,1.911
US_Phone_Code.csv,agent_v2,Mistral,1,6.0,10.0,51.0,0.974,4.28,0.6,
US_Phone_Code.csv,classical,none,3,62.0,84.0,51.0,0.981,1.717,0.738,0.031
t1.csv,agent_v1,Groq,3,39.0,147.667,6841.061,0.951,79.777,0.264,9.853
t1.csv,agent_v1,HuggingFace,3,26.0,87.0,7252.769,0.957,67.363,0.299,0.776
t1.csv,agent_v1,Mistral,3,43.0,181.0,7052.186,0.949,72.063,0.238,1.764
t1.csv,agent_v2,Groq,3,3.333,10.0,7543.694,0.978,4.03,0.333,1.812
t1.csv,agent_v2,HuggingFace,3,3.333,13.0,5541.444,0.989,15.107,0.245,1.084
t1.csv,agent_v2,Mistral,3,5.667,12.667,7225.877,0.951,7.63,0.449,1.563
t1.csv,classical,none,3,183.0,994.0,7262.869,0.942,279.27,0.184,28.935
t2.csv,agent_v1,Groq,3,98.0,324.0,2927.314,0.966,39.663,0.303,3.789
t2.csv,agent_v1,HuggingFace,3,88.0,276.0,2985.489,0.966,40.41,0.319,2.843
t2.csv,agent_v1,Mistral,3,120.667,368.0,2897.0,0.963,55.693,0.328,2.822
t2.csv,agent_v2,Groq,3,3.667,7.667,3498.578,0.958,1.873,0.476,0.339
t2.csv,agent_v2,HuggingFace,3,6.667,15.0,3242.033,0.956,5.6,0.432,0.937
t2.csv,agent_v2,Mistral,3,7.667,11.333,3310.315,0.958,5.97,0.674,0.262
t2.csv,classical,none,3,577.0,2184.0,2890.184,0.969,241.99,0.264,2.5
t3.csv,agent_v1,Groq,3,69.0,160.0,1075.84,0.983,32.363,0.431,6.032
t3.csv,agent_v1,HuggingFace,3,56.0,136.0,1075.839,0.99,26.283,0.412,0.19
t3.csv,agent_v1,Mistral,3,106.333,250.667,1075.84,0.986,52.777,0.425,0.299
t3.csv,agent_v2,Groq,3,2.0,9.0,1076.0,0.946,2.04,0.214,0.538
t3.csv,agent_v2,HuggingFace,3,5.0,12.333,1075.722,0.984,5.303,0.389,0.741
t3.csv,agent_v2,Mistral,3,7.333,13.667,1075.917,0.974,7.02,0.546,0.215
t3.csv,classical,none,3,290.0,1008.0,1075.814,0.981,119.43,0.288,2.695
